Application Name,Instruction,ADB Command
Gmail,Open the Gmail app.,adb shell am start -n com.google.android.gm/.ui.MailActivity
Gmail,Tap on the 'Create Account' button.,adb shell input tap x1 y1
Gmail,Enter your first name in the provided field.,adb shell input text 'John'
Gmail,Enter your last name in the provided field.,adb shell input text 'Doe'
Gmail,Enter your desired email address in the email field.,adb shell input text 'johndoe@example.com'
Gmail,"Choose a strong password with a combination of letters, numbers, and special characters.",adb shell input text 'P@ssw0rd123'
Gmail,Re-enter the chosen password in the confirmation field.,adb shell input text 'P@ssw0rd123'
Gmail,"Optionally, provide a recovery email address for account recovery purposes.",adb shell input text 'recovery@example.com'
Gmail,Accept the Google Terms of Service and Privacy Policy.,adb shell input tap x2 y2
Gmail,Tap on the 'Next' button to proceed.,adb shell input tap x3 y3
Facebook,Open the Facebook app.,adb shell am start -n com.facebook.katana/.LoginActivity
Facebook,Tap on the 'Sign Up' or 'Create New Account' button.,adb shell input tap x1 y1
Facebook,Enter your first name in the provided field.,adb shell input text 'John'
Facebook,Enter your last name in the provided field.,adb shell input text 'Doe'
Facebook,Enter your mobile number or email address in the provided field.,adb shell input text 'johndoe@example.com'
Facebook,Choose a strong password for your account.,adb shell input text 'P@ssw0rd123'
Facebook,Select your date of birth from the dropdown menus.,adb shell input tap x2 y2
Facebook,Choose your gender from the options provided.,adb shell input tap x3 y3
Facebook,Tap on the 'Sign Up' or 'Create Account' button to proceed.,adb shell input tap x4 y4
Facebook,Verify your mobile number or email address by entering the code sent to you.,adb shell input text '123456'
Facebook,Tap on the 'Verify' button to confirm your mobile number or email address.,adb shell input tap x5 y5
Contacts,Open the Contacts app.,adb shell am start -n com.android.contacts/.activities.PeopleActivity
Contacts,Add a new contact.,adb shell input tap x25 y25 && adb shell input text 'John Doe' && adb shell input tap x26 y26
Notepad,Open the Notepad app.,adb shell am start -n com.google.android.keep/.activities.BrowseActivity
Notepad,Create a new note.,adb shell input tap x27 y27 && adb shell input text 'Shopping List' && adb shell input tap x28 y28
Google Translate,Open the Google Translate app.,adb shell am start -n com.google.android.apps.translate/.TranslateActivity
Google Translate,Translate a phrase from English to Spanish.,adb shell input tap x29 y29 && adb shell input text 'Hello' && adb shell input tap x30 y30
Play Music,Open the Play Music app.,adb shell am start -n com.google.android.music/.ui.HomeActivity
Play Music,Play a song from your library.,adb shell input tap x31 y31 && adb shell input tap x32 y32
